Plant_name,Molecule,Canonical_SMILES,Formula,Molecular_Weight,`Heavy_atoms,Aromatic_heavy_atoms,Fraction_Csp3,Rotatable_bonds,H_bond_acceptors,H_bond_donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,SilicosIT_LogP,Consensus_LogP,ESOL_LogS,ESOL_Solubility1,ESOL_Solubility2,ESOL_Class,Ali_LogS,Ali_Solubility1,Ali_Solubility2,Ali_Class,SilicosIT_LogSw,SilicosIT_Solubility1,SilicosIT_Solubility2,SilicosIT_class,GI_absorption,BBB_permeant,Pgp_substrate,CYP1A2_inhibitor,CYP2C19_inhibitor,CYP2C9_inhibitor,CYP2D6_inhibitor,CYP3A4_inhibitor,logKp,Lipinski_violations,Ghose_violations,Veber_violations,Egan_violations,Muegge_violations,Bioavailability_Score,PAINS_alert,Brenk_alert,Leadlikeness_violations,Synthetic_Accessibility
Carica papaya,Cholesterol,CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C)C,C27H46O,386.65,28,0,0.93,5,1,1,123.61,20.23,4.89,8.72,7.39,6.34,6.4,6.75,-7.4,1.54E-05,3.97E-08,Poorly soluble,-9.02,3.65E-07,9.45E-10,Poorly soluble,-5.78,6.48E-04,1.67E-06,Moderately soluble,Low,No,No,No,No,Yes,No,No,-2.47,1,2,0,1,2,0.55,0,1,2,5.98
Carica papaya,Kaempferol,Oc1ccc(cc1)c1oc2cc(O)cc(c2c(=O)c1O)O,C15H10O6,286.24,21,16,0,1,6,4,76.01,111.13,1.7,1.9,2.28,-0.03,2.03,1.58,-3.31,1.40E-01,4.90E-04,Soluble,-3.86,3.98E-02,1.39E-04,Soluble,-3.82,4.29E-02,1.50E-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-6.7,0,0,0,0,0,0.55,0,0,0,3.14
Carica papaya,Quercetin,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O,C15H10O7,302.24,22,16,0,1,7,5,78.03,131.36,1.63,1.54,1.99,-0.56,1.54,1.23,-3.16,2.11E-01,6.98E-04,Soluble,-3.91,3.74E-02,1.24E-04,Soluble,-3.24,1.73E-01,5.73E-04,Soluble,High,No,No,Yes,No,No,Yes,Yes,-7.05,0,0,0,0,0,0.55,1,1,0,3.23
Carica papaya,Myricitrin,Oc1cc(O)c2c(c1)oc(c(c2=O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@@H]1O)O)O)c1cc(O)c(c(c1)O)O,C21H20O12,464.38,33,16,0.29,3,12,8,111.02,210.51,1.41,0.51,0.19,-2.32,-0.46,-0.14,-3.2,2.92E-01,6.29E-04,Soluble,-4.5,1.46E-02,3.15E-05,Moderately soluble,-1.49,1.49E+01,3.21E-02,Soluble,Low,No,No,No,No,No,No,No,-8.77,2,0,1,1,3,0.17,1,1,1,5.32
Carica papaya,(S)-beta-Bisabolene,CC(=CCCC(=C)[C@H]1CCC(=CC1)C)C,C15H24,204.35,15,0,0.6,4,0,0,70.68,0,3.67,6.43,5.04,4.53,4.5,4.83,-4.89,2.61E-03,1.28E-05,Moderately soluble,-6.22,1.22E-04,5.98E-07,Poorly soluble,-3.58,5.36E-02,2.62E-04,Soluble,Low,No,No,No,No,Yes,No,No,-2.98,1,0,0,0,2,0.55,0,1,2,3.9
Carica papaya,Choline,OCC[N+](C)(C)C,C5H14NO,104.17,7,0,1,2,1,1,29.69,20.23,-2.14,-0.4,-0.32,-3.46,-0.57,-1.38,-0.1,8.24E+01,7.91E-01,Very soluble,0.44,2.86E+02,2.75E+00,Highly soluble,-1.26,5.74E+00,5.51E-02,Soluble,Low,No,No,No,No,No,No,No,-7.22,0,2,0,0,1,0.55,0,1,1,1
Carica papaya,5-Hydroxyferulic acid,COc1cc(/C=C/C(=O)O)cc(c1O)O,C10H10O5,210.18,15,6,0.1,3,5,3,53.65,86.99,1.6,1.13,1.1,0.44,0.81,1.01,-1.95,2.34E+00,1.11E-02,Very soluble,-2.55,5.92E-01,2.81E-03,Soluble,-0.85,3.00E+01,1.43E-01,Soluble,High,No,No,No,No,No,No,No,-6.78,0,0,0,0,0,0.56,1,2,1,2.06
Carica papaya,5-Hydroxyconiferyl alcohol,OC/C=C/c1cc(O)c(c(c1)OC)O,C10H12O4,196.2,14,6,0.2,3,4,3,53.04,69.92,1.97,0.94,1,0.55,1.24,1.14,-1.77,3.35E+00,1.71E-02,Very soluble,-1.99,1.98E+00,1.01E-02,Very soluble,-1.3,9.86E+00,5.02E-02,Soluble,High,No,No,No,No,No,No,No,-6.83,0,0,0,0,1,0.55,1,1,1,2.01
Carica papaya,Benzylglucosinolate,OC[C@@H]1O[C@H](S/C(=N\OS(=O)(=O)O)/Cc2ccccc2)[C@H]([C@@H]([C@H]1O)O)O,C14H19NO9S2,409.43,26,6,0.5,7,10,5,91.57,199.79,1.11,-0.22,-0.02,-1.65,-1.73,-0.5,-1.95,4.61E+00,1.13E-02,Very soluble,-3.52,1.24E-01,3.03E-04,Soluble,-0.09,3.31E+02,8.09E-01,Soluble,Low,No,Yes,No,No,No,No,No,-8.95,0,0,1,1,1,0.11,0,4,1,5.27
Carica papaya,Caffeoyl aldehyde,O=C/C=C/c1ccc(c(c1)O)O,C9H8O3,164.16,12,6,0,2,3,2,45.59,57.53,1.15,1.09,1.2,0.74,1.5,1.14,-1.78,2.71E+00,1.65E-02,Very soluble,-1.89,2.11E+00,1.29E-02,Very soluble,-1.28,8.67E+00,5.28E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.53,0,0,0,0,1,0.55,1,3,1,1.77
Carica papaya,Palmitaldehyde,CCCCCCCCCCCCCCCC=O,C16H32O,240.42,17,0,0.94,14,1,0,79.23,17.07,4.15,7.05,5.67,4.31,5.96,5.43,-4.85,3.41E-03,1.42E-05,Moderately soluble,-7.23,1.43E-05,5.95E-08,Poorly soluble,-5.89,3.10E-04,1.29E-06,Moderately soluble,High,No,No,Yes,No,No,No,No,-2.76,1,1,1,0,2,0.55,0,1,3,2.26
Carica papaya,Citric acid,OC(=O)C(CC(=O)O)(CC(=O)O)O,C6H8O7,192.12,13,0,0.5,5,7,4,37.47,132.13,-1.49,-1.72,-1.25,-1.48,-1.6,-1.51,0.38,4.63E+02,2.41E+00,Highly soluble,-0.54,5.53E+01,2.88E-01,Very soluble,1.71,9.90E+03,5.15E+01,Soluble,Low,No,No,No,No,No,No,No,-8.69,0,2,0,1,1,0.56,0,0,1,2.18
Carica papaya,Isopropylcyclohexane,CC(C1CCCCC1)C,C9H18,126.24,9,0,1,1,0,0,43.26,0,2.66,4.3,3.22,4.13,2.93,3.45,-3.27,6.85E-02,5.42E-04,Soluble,-4.01,1.22E-02,9.70E-05,Moderately soluble,-2.1,1.01E+00,8.00E-03,Soluble,Low,Yes,No,No,No,No,No,No,-4.02,0,1,0,0,2,0.55,0,0,2,1.74
Carica papaya,D-Galactose,OC[C@H]([C@@H]([C@@H]([C@H](C=O)O)O)O)O,C6H12O6,180.16,12,0,0.83,5,6,5,36.97,118.22,0,-2.94,-3.38,-2.91,-1.6,-2.17,1.23,3.03E+03,1.68E+01,Highly soluble,1.02,1.87E+03,1.04E+01,Highly soluble,2.45,5.05E+04,2.81E+02,Soluble,Low,No,No,No,No,No,No,No,-9.49,0,2,0,0,2,0.55,0,1,1,3.31
Carica papaya,(Z)-alpha-exo-bergamotol,CC(=CCC[C@]1(C)[C@H]2CC=C([C@@H]1C2)C)C,C15H24,204.35,15,0,0.73,3,0,0,68.78,0,3.57,6.45,4.73,4.63,4.27,4.73,-4.97,2.18E-03,1.07E-05,Moderately soluble,-6.24,1.16E-04,5.70E-07,Poorly soluble,-3.55,5.73E-02,2.81E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-2.97,1,0,0,0,2,0.55,0,1,2,5.07
Carica papaya,"Alternariol 3,4',5-Trihydroxy-6'-methyl-dibenzo[a]pyrone",Oc1cc(C)c2c(c1)oc(=O)c1c2cc(O)cc1O,C14H10O5,258.23,19,14,0.07,0,5,3,71.03,90.9,1.74,2.89,2.37,1.38,2.47,2.17,-3.81,4.03E-02,1.56E-04,Soluble,-4.46,8.97E-03,3.47E-05,Moderately soluble,-3.95,2.88E-02,1.11E-04,Soluble,High,No,No,Yes,No,No,No,No,-5.82,0,0,0,0,0,0.55,0,2,0,2.8
Carica papaya,trans-2-Decenal,CCCCCCC/C=C/C=O,C10H18O,154.25,11,0,0.7,7,1,0,49.91,17.07,2.67,3.69,3.1,2.59,3.14,3.04,-2.66,3.38E-01,2.19E-03,Soluble,-3.74,2.81E-02,1.82E-04,Soluble,-2.72,2.95E-01,1.91E-03,Soluble,High,Yes,No,No,No,No,No,No,-4.62,0,1,0,0,2,0.55,0,2,2,2.4
Carica papaya,(E)-Geranylacetone,C/C(=C\CCC(=O)C)/CCC=C(C)C,C13H22O,194.31,14,0,0.62,6,1,0,63.86,17.07,3.09,3.7,4.05,3.34,3.82,3.6,-2.98,2.04E-01,1.05E-03,Soluble,-3.75,3.46E-02,1.78E-04,Soluble,-3.18,1.28E-01,6.61E-04,Soluble,High,Yes,No,No,No,No,No,No,-4.86,0,0,0,0,2,0.55,0,1,2,3
Carica papaya,(Z)-Farnesene,C=CC(=C)CC/C=C(\CCC=C(C)C)/C,C15H24,204.35,15,0,0.47,7,0,0,72.32,0,3.86,6.03,5.2,4.84,4.93,4.97,-4.44,7.35E-03,3.60E-05,Moderately soluble,-5.81,3.18E-04,1.55E-06,Moderately soluble,-3.74,3.73E-02,1.82E-04,Soluble,Low,No,No,Yes,No,Yes,No,No,-3.27,1,0,0,0,2,0.55,0,2,2,3.42
Carica papaya,Oct-1-en-3-ol,CCCCC[C@@H](C=C)O,C8H16O,128.21,9,0,0.75,5,1,1,41.26,20.23,2.33,2.55,2.11,2.07,1.96,2.21,-1.91,1.57E+00,1.23E-02,Very soluble,-2.62,3.06E-01,2.39E-03,Soluble,-1.77,2.20E+00,1.71E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.27,0,1,0,0,2,0.55,0,1,1,2.15
Carica papaya,Cinnamic acid,OC(=O)/C=C/c1ccccc1,C9H8O2,148.16,11,6,0,2,2,1,43.11,37.3,1.55,2.13,1.68,1.9,1.7,1.79,-2.37,6.29E-01,4.25E-03,Soluble,-2.54,4.23E-01,2.85E-03,Soluble,-1.84,2.14E+00,1.45E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.69,0,2,0,0,1,0.85,0,1,1,1.67
Carica papaya,Methyl hexadecanoate,CCCCCCCCCCCCCCCC(=O)OC,C17H34O2,270.45,19,0,0.94,15,2,0,85.12,26.3,4.41,7.38,5.64,4.44,5.84,5.54,-5.18,1.80E-03,6.67E-06,Moderately soluble,-7.76,4.68E-06,1.73E-08,Poorly soluble,-6.01,2.64E-04,9.75E-07,Poorly soluble,High,Yes,No,Yes,No,No,No,No,-2.71,1,1,1,0,1,0.55,0,0,2,2.53
Carica papaya,"Linoleic acid, methyl ester",CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,C19H34O2,294.47,21,0,0.74,15,2,0,93.78,26.3,4.41,7.38,5.97,4.44,5.84,5.54,-5.18,1.80E-03,6.67E-06,Moderately soluble,-7.76,4.68E-06,1.73E-08,Poorly soluble,-6.01,2.64E-04,9.75E-07,Poorly soluble,High,Yes,No,Yes,No,No,No,No,-2.71,1,1,1,0,1,0.55,0,0,2,2.53
Carica papaya,Neochlorogenic acid,O=C(O[C@@H]1C[C@](O)(C[C@H]([C@@H]1O)O)C(=O)O)/C=C/c1ccc(c(c1)O)O,C16H18O9,354.31,25,6,0.38,5,9,6,83.5,164.75,0.56,-0.42,-0.75,-1.05,-0.61,-0.46,-1.62,8.50E+00,2.40E-02,Very soluble,-2.58,9.42E-01,2.66E-03,Soluble,0.4,8.94E+02,2.52E+00,Soluble,Low,No,No,No,No,No,No,No,-8.76,1,1,1,1,2,0.11,1,2,1,4.16
Carica papaya,Nonadecane,CCCCCCCCCCCCCCCCCCC,C19H40,268.52,19,0,1,16,0,0,93.45,0,5.46,9.91,7.66,7.15,7.54,7.54,-6.69,5.46E-05,2.03E-07,Poorly soluble,-9.83,3.93E-08,1.46E-10,Poorly soluble,-7.54,7.82E-06,2.91E-08,Poorly soluble,Low,No,No,Yes,No,No,No,No,-0.9,1,1,1,1,3,0.55,0,0,2,2.6
Carica papaya,Octadecane,CCCCCCCCCCCCCCCCCC,C18H38,254.49,18,0,1,15,0,0,88.64,0,5.23,9.37,7.27,6.92,7.1,7.18,-6.33,1.19E-04,4.67E-07,Poorly soluble,-9.27,1.35E-07,5.32E-10,Poorly soluble,-7.13,1.86E-05,7.33E-08,Poorly soluble,Low,No,No,Yes,No,No,No,No,-1.2,1,1,1,1,2,0.55,0,0,2,2.49
Carica papaya,Octanal,CCCCCCCC=O,C8H16O,128.21,9,0,0.88,6,1,0,40.77,17.07,2.29,2.72,2.55,2.07,2.45,2.42,-1.95,1.43E+00,1.12E-02,Very soluble,-2.73,2.38E-01,1.85E-03,Soluble,-2.6,3.18E-01,2.48E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.15,0,1,0,0,2,0.55,0,1,1,1.43
Carica papaya,p-Coumaraldehyde,O=C/C=C/c1ccc(cc1)O,C9H8O2,148.16,11,6,0,2,2,1,43.56,37.3,1.31,1.75,1.5,1.35,1.98,1.58,-2.13,1.09E+00,7.37E-03,Soluble,-2.15,1.05E+00,7.07E-03,Soluble,-1.84,2.14E+00,1.45E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.96,0,2,0,0,1,0.55,0,2,1,1.54
Carica papaya,Benzyl isothiocyanate,S=C=NCc1ccccc1,C8H7NS,149.21,10,6,0.12,2,1,0,45.38,44.45,2.19,3.16,2.14,3.28,3.79,2.91,-3.07,1.28E-01,8.55E-04,Soluble,-3.76,2.57E-02,1.72E-04,Soluble,-2.98,1.57E-01,1.05E-03,Soluble,High,Yes,No,No,No,No,No,No,-4.97,0,2,0,0,1,0.55,0,2,1,1.59
Carica papaya,Fructose,OC[C@H]([C@H]([C@@H](C(=O)CO)O)O)O,C6H12O6,180.16,12,0,0.83,5,6,5,36.97,118.22,0.43,-3.24,-3.38,-2.91,-1.59,-2.14,1.41,4.68E+03,2.60E+01,Highly soluble,1.33,3.84E+03,2.13E+01,Highly soluble,2.09,2.23E+04,1.24E+02,Soluble,Low,No,No,No,No,No,No,No,-9.7,0,2,0,0,2,0.55,0,0,1,3.13
Carica papaya,Quinic acid,O[C@@H]1[C@@H](O)C[C@](C[C@@H]1O)(O)C(=O)O,C7H12O6,192.17,13,0,0.86,1,6,5,40.11,118.22,0.48,-2.37,-2.32,-2.14,-1.82,-1.63,0.53,6.48E+02,3.37E+00,Highly soluble,0.43,5.12E+02,2.66E+00,Highly soluble,2.08,2.30E+04,1.20E+02,Soluble,Low,No,No,No,No,No,No,No,-9.15,0,1,0,0,2,0.56,0,0,1,3.34
Carica papaya,Benzaldehyde,O=Cc1ccccc1,C7H6O,106.12,8,6,0,1,1,0,31.83,17.07,1.36,1.48,1.5,1.45,2.05,1.57,-1.92,1.28E+00,1.20E-02,Very soluble,-1.45,3.80E+00,3.59E-02,Very soluble,-2.28,5.62E-01,5.30E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.9,0,3,0,0,2,0.55,0,1,1,1
Carica papaya,Methyl geranate,COC(=O)/C=C(/CCC=C(C)C)\C,C11H18O2,182.26,13,0,0.55,5,2,0,55.33,26.3,3.05,3.42,2.85,2.67,2.54,2.91,-2.79,2.92E-01,1.60E-03,Soluble,-3.65,4.06E-02,2.23E-04,Soluble,-2.11,1.42E+00,7.82E-03,Soluble,High,Yes,No,No,No,No,No,No,-4.98,0,0,0,0,1,0.55,0,2,1,2.65
Carica papaya,Hexadecane,CCCCCCCCCCCCCCCC,C16H34,226.44,16,0,1,13,0,0,79.03,0,4.67,8.28,6.49,6.44,6.21,6.42,-5.6,5.66E-04,2.50E-06,Moderately soluble,-8.14,1.63E-06,7.19E-09,Poorly soluble,-6.33,1.06E-04,4.69E-07,Poorly soluble,Low,No,No,Yes,No,No,No,No,-1.8,1,1,1,1,2,0.55,0,0,3,2.26
Carica papaya,n-Tetradecane,CCCCCCCCCCCCCC,C14H30,198.39,14,0,1,11,0,0,69.41,0,4.23,7.2,5.71,5.93,5.33,5.68,-4.88,2.62E-03,1.32E-05,Moderately soluble,-7.02,1.88E-05,9.49E-08,Poorly soluble,-5.52,6.05E-04,3.05E-06,Moderately soluble,Low,No,No,Yes,No,No,No,No,-2.4,1,1,1,0,3,0.55,0,0,3,2.04
Carica papaya,Propionic acid,CCC(=O)O,C3H6O2,74.08,5,0,0.67,1,2,1,18.31,37.3,0.89,0.33,0.48,0.03,-0.22,0.3,-0.44,2.68E+01,3.62E-01,Very soluble,-0.68,1.56E+01,2.10E-01,Very soluble,0.09,9.07E+01,1.22E+00,Soluble,High,Yes,No,No,No,No,No,No,-6.52,0,3,0,0,2,0.85,0,0,1,1
Carica papaya,alpha-Curcumene,CC(=CCC[C@@H](c1ccc(cc1)C)C)C,C15H22,202.34,15,6,0.47,4,0,0,69.55,0,3.5,5.38,4.84,5.75,4.82,4.86,-4.52,6.17E-03,3.05E-05,Moderately soluble,-5.13,1.49E-03,7.34E-06,Moderately soluble,-4.9,2.55E-03,1.26E-05,Moderately soluble,Low,No,No,No,No,No,Yes,No,-3.71,1,0,0,0,2,0.55,0,1,2,2.31
Carica papaya,Isopropyl alcohol,CC(O)C,C3H8O,60.1,4,0,1,0,1,1,17.7,20.23,1.38,0.34,0.39,0.29,-0.13,0.45,-0.43,2.25E+01,3.74E-01,Very soluble,-0.33,2.82E+01,4.69E-01,Very soluble,0.05,6.70E+01,1.11E+00,Soluble,High,No,No,No,No,No,No,No,-6.43,0,3,0,0,3,0.55,0,0,1,1
Carica papaya,5-Methyl-2-hexanone,CC(CCC(=O)C)C,C7H14O,114.19,8,0,0.86,3,1,0,35.96,17.07,2.04,1.88,2.01,1.74,1.69,1.87,-1.53,3.34E+00,2.92E-02,Very soluble,-1.86,1.57E+00,1.38E-02,Very soluble,-1.79,1.85E+00,1.62E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.66,0,2,0,0,2,0.55,0,0,1,1
Carica papaya,Creatine,OC(=O)CN(C(=N)N)C,C4H9N3O2,131.13,9,0,0.5,3,3,3,32.31,90.41,0.17,-1.17,-1.1,-0.96,-1.81,-0.97,0.28,2.51E+02,1.91E+00,Highly soluble,-0.24,7.62E+01,5.81E-01,Very soluble,0.92,1.09E+03,8.30E+00,Soluble,High,No,No,No,No,No,No,No,-7.93,0,4,0,0,2,0.55,0,2,1,1.89
Carica papaya,(+-)-Dehydrolinalool,C#CC(CCC=C(C)C)(O)C,C10H16O,152.23,11,0,0.6,3,1,1,49.07,20.23,2.56,2.2,2.2,2.59,2.18,2.34,-1.97,1.62E+00,1.07E-02,Very soluble,-2.26,8.39E-01,5.51E-03,Soluble,-1.48,5.04E+00,3.31E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.67,0,1,0,0,2,0.55,0,2,1,3.42
Carica papaya,"1-Ethyl-3,5-dimethylbenzene",CCc1cc(C)cc(c1)C,C10H14,134.22,10,6,0.4,1,0,0,46.15,0,2.56,4.55,2.87,4.47,3.59,3.61,-3.92,1.63E-02,1.21E-04,Soluble,-4.27,7.16E-03,5.34E-05,Moderately soluble,-3.93,1.58E-02,1.17E-04,Soluble,Low,Yes,No,No,No,No,Yes,No,-3.89,1,1,0,0,2,0.55,0,0,2,1
Carica papaya,"2,3-Dimethylnaphthalene",Cc1cc2ccccc2cc1C,C12H12,156.22,12,10,0.17,0,0,0,53.88,0,2.44,4.4,3.46,4.83,3.97,3.82,-4.2,9.92E-03,6.35E-05,Moderately soluble,-4.12,1.19E-02,7.64E-05,Moderately soluble,-4.83,2.29E-03,1.47E-05,Moderately soluble,Low,Yes,No,Yes,Yes,No,No,No,-4.13,1,1,0,0,2,0.55,0,0,2,1
Carica papaya,"2,5-Dimethoxymandelic acid",COc1ccc(c(c1)C(C(=O)O)O)OC,C10H12O5,212.2,15,6,0.3,4,5,2,52.13,75.99,1.51,0.77,0.5,0.26,0.83,0.78,-1.67,4.51E+00,2.12E-02,Very soluble,-1.95,2.40E+00,1.13E-02,Very soluble,-1.51,6.60E+00,3.11E-02,Soluble,High,No,No,No,No,No,No,No,-7.05,0,0,0,0,0,0.56,0,0,1,2.43
Carica papaya,2-Deoxygalactopyranose,OC[C@H]1OC(O)C[C@H]([C@H]1O)O,C6H12O5,164.16,11,0,1,1,5,4,34.57,90.15,0.64,-1.96,-2.19,-1.94,-1.44,-1.38,0.44,4.55E+02,2.77E+00,Highly soluble,0.59,6.38E+02,3.89E+00,Highly soluble,1.82,1.08E+04,6.56E+01,Soluble,High,No,No,No,No,No,No,No,-8.69,0,2,0,0,1,0.55,0,0,1,3.9
Carica papaya,2-Methylnaphthalene,Cc1ccc2c(c1)cccc2,C11H10,142.2,11,10,0.09,0,0,0,48.91,0,2.23,3.86,3.15,4.55,3.52,3.46,-3.83,2.12E-02,1.49E-04,Soluble,-3.56,3.95E-02,2.78E-04,Soluble,-4.43,5.23E-03,3.68E-05,Moderately soluble,Low,Yes,No,Yes,Yes,No,No,No,-4.43,1,1,0,0,2,0.55,0,0,2,1
Carica papaya,2-Propylheptanol,CCCCCC(CCC)CO,C10H22O,158.28,11,0,1,7,1,1,51.35,20.23,2.97,3.75,2.98,2.84,2.84,3.08,-2.72,3.00E-01,1.90E-03,Soluble,-3.87,2.15E-02,1.36E-04,Soluble,-2.95,1.78E-01,1.13E-03,Soluble,High,Yes,No,No,No,No,No,No,-4.6,0,1,0,0,2,0.55,0,0,2,2.1
Carica papaya,"3,4-Dimethoxymandelic acid",COc1cc(ccc1OC)C(C(=O)O)O,C10H12O5,212.2,15,6,0.3,4,5,2,52.13,75.99,1.37,0.77,0.5,0.26,0.83,0.75,-1.67,4.51E+00,2.12E-02,Very soluble,-1.95,2.40E+00,1.13E-02,Very soluble,-1.51,6.60E+00,3.11E-02,Soluble,High,No,No,No,No,No,No,No,-7.05,0,0,0,0,0,0.56,0,0,1,2.32
Carica papaya,3-Methyl-5-propylnonane,CCCCC(CC(CC)C)CCC,C13H28,184.36,13,0,1,8,0,0,64.6,0,3.64,6.68,5.03,5.67,4.54,5.11,-4.66,4.00E-03,2.17E-05,Moderately soluble,-6.48,6.06E-05,3.29E-07,Poorly soluble,-4.36,8.05E-03,4.37E-05,Moderately soluble,Low,No,No,No,No,Yes,No,No,-2.68,1,0,0,0,3,0.55,0,0,3,2.65
Carica papaya,5beta-Pregnan-17-ol,CC[C@@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC[C@H]2[C@]1(C)CCCC2,C21H36O,304.51,22,0,1,1,1,1,95.28,20.23,3.89,6.61,5.56,5.23,4.78,5.21,-5.83,4.54E-04,1.49E-06,Moderately soluble,-6.84,4.45E-05,1.46E-07,Poorly soluble,-4.62,7.36E-03,2.42E-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-3.46,1,0,0,0,2,0.55,0,0,1,4.21
Carica papaya,5-Hydroxyconiferaldehyde,O=C/C=C/c1cc(O)c(c(c1)OC)O,C10H10O4,194.18,14,6,0.1,3,4,2,52.08,66.76,1.77,1.07,1.21,0.46,1.55,1.21,-1.84,2.83E+00,1.45E-02,Very soluble,-2.06,1.68E+00,8.64E-03,Soluble,-1.42,7.43E+00,3.83E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.72,0,0,0,0,1,0.55,1,3,1,2.03
Carica papaya,"Methyl 8,11,14-docosatrienoate",CCCCCCC/C=C/C/C=C/C/C=C/CCCCCCC(=O)OC,C23H40O2,348.56,25,0,0.7,18,2,0,112.54,26.3,5.38,8.3,7.31,5.5,7.94,6.89,-6.04,3.16E-04,9.08E-07,Poorly soluble,-8.72,6.70E-07,1.92E-09,Poorly soluble,-6.24,2.00E-04,5.73E-07,Poorly soluble,Low,No,No,Yes,No,Yes,No,No,-2.53,1,1,1,1,2,0.55,0,1,2,3.57
Carica papaya,Acetamide,CC(=O)N,C2H5NO,59.07,4,0,0.5,0,1,1,14.64,43.09,0.59,-0.86,-0.51,-0.89,-0.72,-0.48,0.34,1.28E+02,2.17E+00,Highly soluble,0.44,1.61E+02,2.73E+00,Highly soluble,0.32,1.24E+02,2.09E+00,Soluble,High,No,No,No,No,No,No,No,-7.27,0,4,0,0,2,0.55,0,0,1,1
Carica papaya,Bergamotene,CC(=CCCC1(C)C2CCC(=C)C1C2)C,C15H24,204.35,15,0,0.73,3,0,0,68.78,0,3.52,6.13,4.73,4.63,4.55,4.71,-4.77,3.46E-03,1.69E-05,Moderately soluble,-5.91,2.50E-04,1.22E-06,Moderately soluble,-3.8,3.24E-02,1.58E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.19,1,0,0,0,2,0.55,0,1,2,4.68
Carica papaya,D-Turanose,OCC(=O)C([C@@H]([C@@H](CO)O)O)O[C@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O,C12H22O11,342.3,23,0,0.92,8,11,8,69.35,197.37,-0.62,-4.84,-5.55,-4.92,-3.27,-3.84,1.61,1.41E+04,4.12E+01,Highly soluble,1.33,7.26E+03,2.12E+01,Highly soluble,3.73,1.83E+06,5.35E+03,Soluble,Low,No,Yes,No,No,No,No,No,-11.82,2,1,1,1,4,0.17,0,0,1,5.11
Carica papaya,Glycylglycine,NCC(=O)NCC(=O)O,C4H8N2O3,132.12,9,0,0.5,4,4,3,28.82,92.42,0.1,-2.92,-1.85,-1.78,-1.49,-1.59,1.44,3.68E+03,2.78E+01,Highly soluble,1.54,4.56E+03,3.45E+01,Highly soluble,0.33,2.82E+02,2.14E+00,Soluble,High,No,No,No,No,No,No,No,-9.18,0,4,0,0,3,0.55,0,0,1,1.17
Carica papaya,Gulose,OC[C@H]([C@@H]([C@H]([C@H](C=O)O)O)O)O,C6H12O6,180.16,12,0,0.83,5,6,5,36.96,118.22,-0.27,-2.94,-3.38,-2.91,-1.6,-2.22,1.23,3.03E+03,1.68E+01,Highly soluble,1.02,1.87E+03,1.04E+01,Highly soluble,2.45,5.05E+04,2.81E+02,Soluble,Low,No,No,No,No,No,No,No,-9.49,0,2,0,0,2,0.55,0,1,1,3.31
Carica papaya,neo-Inositol,O[C@@H]1[C@H](O)[C@H](O)[C@H]([C@H]([C@H]1O)O)O,C6H12O6,180.16,12,0,1,0,6,6,35.81,121.38,0.1,-3.71,-3.83,-3.16,-2.95,-2.71,1.38,4.32E+03,2.40E+01,Highly soluble,1.75,1.01E+04,5.62E+01,Highly soluble,3.29,3.48E+05,1.93E+03,Soluble,Low,No,Yes,No,No,No,No,No,-10.03,1,2,0,0,3,0.55,0,0,1,3.53
Carica papaya,Norphytane,CC(CCCC(C)C)CCCC(CCCC(C)C)C,C19H40,268.52,19,0,1,12,0,0,93.45,0,5.13,9.35,7.08,7.15,6.86,7.11,-6.6,6.69E-05,2.49E-07,Poorly soluble,-9.25,1.50E-07,5.58E-10,Poorly soluble,-6.04,2.44E-04,9.10E-07,Poorly soluble,Low,No,Yes,No,No,Yes,No,No,-1.3,1,1,1,1,2,0.55,0,0,2,3.32
Carica papaya,Omal,Clc1cc(Cl)c(c(c1)Cl)O,C6H3Cl3O,197.45,10,6,0,0,1,1,43.5,20.23,2.05,3.69,3.35,3.26,3.3,3.13,-3.83,2.90E-02,1.47E-04,Soluble,-3.81,3.09E-02,1.57E-04,Soluble,-3.67,4.17E-02,2.11E-04,Soluble,High,Yes,No,Yes,No,Yes,No,No,-4.88,0,1,0,0,2,0.55,0,0,2,1.27
